24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,4) Control Date=24/09/2018 00:56:59
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,5) Control Frame no=1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,6) Control Primary Key=0
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,7) Control Op Name=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,8) Control Op Activity=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,9) Control Op Start Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,10) Control Op End Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,11) CONTROL FIELDNAME = OpComments
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,12) LAST SAVED = 00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,1) Control Name= txtOpRow:1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,2) Control ID= 07/09/2018_39283_43
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,3) Control Value= 1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,4) Control Date=24/09/2018 00:49:04
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,5) Control Frame no=1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,6) Control Primary Key=3
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,7) Control Op Name=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,8) Control Op Activity=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,9) Control Op Start Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,10) Control Op End Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,11) CONTROL FIELDNAME = FrameRowNumber
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,12) LAST SAVED = 00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,1) Control Name= comOperativeName:1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,2) Control ID= 07/09/2018_39283_44
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,3) Control Value= Mohamed Badabhai
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,4) Control Date=24/09/2018 00:49:04
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,5) Control Frame no=1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,6) Control Primary Key=3
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,7) Control Op Name=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,8) Control Op Activity=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,9) Control Op Start Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,10) Control Op End Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,11) CONTROL FIELDNAME = Op_Name
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,12) LAST SAVED = 00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,1) Control Name= comOperativeActivity:1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,2) Control ID= 07/09/2018_39283_45
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,3) Control Value= Receiver
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,4) Control Date=24/09/2018 00:49:04
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,5) Control Frame no=1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,6) Control Primary Key=3
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,7) Control Op Name=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,8) Control Op Activity=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,9) Control Op Start Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,10) Control Op End Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,11) CONTROL FIELDNAME = Activity_Name
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,12) LAST SAVED = 00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,1) Control Name= txtOperativeStartTime:1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,2) Control ID= 07/09/2018_39283_446
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,3) Control Value= 23/09/2018 18:39:59
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,4) Control Date=24/09/2018 00:49:04
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,5) Control Frame no=1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,6) Control Primary Key=3
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,7) Control Op Name=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,8) Control Op Activity=
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,9) Control Op Start Date=23/09/2018 18:39:59
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,10) Control Op End Date=00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,11) CONTROL FIELDNAME = Op_StartTime
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,12) LAST SAVED = 00:00:00
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,1) Control Name= txtOperativeFinishTime:1
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,2) Control ID= 07/09/2018_39283_447
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,3) Control Value= 23/09/2018 18:45:02
24/09/2018 00:56:59 ECP-99-KPATEL,192.168.0.15,2001:0:4137:9e76:30c3:3c61:adf3:6f6a, OPERATOR LOGGED IN:dgoss, {Write_Properties_To_File()} ,4) Control Date=24/09/2018 00:49:04
